Nama Wisata,final_text,score,sentiment
Kenjeran Park,ga apa dalam tutup bengkalai tempat kecuali atlantis bayar masuk sepi banget area kenjeran park nya ga wahana apa atlantis kasi dagang kupang nya ga yg beli karna sepi tolong bikin wahana yg niat ngapain bayar masuk dalam ga apa,1,negatif
Kenjeran Park,legend hits masa libur hibur ekonomis surabaya lokasi nya ujung timur utara sby tiket masuk mobil k motor k dalem nya waterpark atlantis motel pantai kya area kuda jual makan minum tp cenderung sepi rame deket pantai nya bangun yg ambruk tp bersih suasana nya,1,negatif
Kenjeran Park,tempat strategis pinggir jalan harga jangkau,3,netral
Kenjeran Park,udh ga kesini bru kesini lgi taun yg beda bgt pas rame nya bengkalai,1,negatif
Kenjeran Park,keren,5,positif
Kenjeran Park,wisata ekonomis,3,netral
Kenjeran Park,tempat gelap ga lampu jalan rusaknseram hutan tunggu takut utk masuk byrnya masuk kalo malam mahal bgt ga sumbut jemput byrnya mahal puol gelap masuk jam tutup mahal e ampun loh ga tarif harga masuk loket bicara,1,negatif
Kenjeran Park,coba jalan jalan pakai transportasi bis listrik surabaya bayar wajib pakai qris ya turun langsung kenjeran kenjeran ibadah yaa aneka makan seafood alangkah baik harga makan harga masuk k masuk pakai mobil motor bis kereta kelinci muter jalan tunggu selesai bayar k orang,5,positif
Kenjeran Park,nyaman,5,positif
Kenjeran Park,suasana sepi awat kotor lusuh,1,negatif
Kenjeran Park,suasana sejuk cocok libur keluarga,5,positif
Kenjeran Park,mantap,5,positif
Kenjeran Park,kereta kelinci,3,netral
Kenjeran Park,renang baik jaman,1,negatif
Kenjeran Park,bus listrik bungurasih kenpark scan barcode tiket pintu masuk bus rupiah jalan jam gantung arus lalin kenpark luas bawa motor mobil jalan kaki masuk capek lumayan tempat sayang urus main karat rusak unjung andal atlantis land ibadah wihara pantai bagus fotofoto,1,negatif
Kenjeran Park,lumayan sayang yg bengkalai,1,negatif
Kenjeran Park,penasaran review kemarin september coba kesan sayang wahana wisata urus wahana yg operasi rusak wisata jubel unjung libur kosong melompong kecewa unjung lanjur masuk kurang dana promosi sayang luas bengkalai,1,negatif
Kenjeran Park,nantik moga kecewa,1,negatif
Kenjeran Park,it seems as if the park has been abandoned everything is rundown and nature is gradually reclaiming everything piece by piece but it was definitely exciting to see like a ghost city,3,netral
Kenjeran Park,wisata surabaya klo gk ksini afdol,3,netral
Kenjeran Park,themepark in surabaya,3,netral
Kenjeran Park,event bank jatim venue sewa all karyawan bank jatim masuk area kuda putar alas tutup eh karyawan kenpark masuk area nonton konser area luas nyaman hehee,5,positif
Kenjeran Park,lg corona aduh sedih banget liat skrg super sepi ramaaai pol smpe ga bs masuk sy makan warung pinggir skrg dpt beli untung saking sepi,1,negatif
Kenjeran Park,tiket masuk motor rb utk orang buka jam area luas yg sy datang patung budha wajah pacu kuda warung pinggir pantaiterlihat sepi unjung yg bengkalai sayang ramai kunjung,1,negatif
Kenjeran Park,aja,1,negatif
Kenjeran Park,rekreasi bagus harga ramah kantong cocok keluarga anakanak remaja main pandang alam bagus atlantis suka anakanak main kolam renang kontrol damping orang tua,1,negatif
Kenjeran Park,mudah jangkau transportasi letak stategis,3,netral
Kenjeran Park,awat kumuh awat sedia fasilitas toilet pada officenya responsif layan langgan kartu pass yg lalang masuk alas nggak benah managementnya,5,positif
Kenjeran Park,bangun terbangkalai urus kondisi harap ramai dlu,5,positif
Kenjeran Park,sepi awat moga remaja tempat tarik wisatawan kesini,1,negatif
Kenjeran Park,cantik sunset cocok photoshoot masuk lokasi jam wib jelang magrib tiket masuk murmer tiga mobil rb parkir bayar,3,netral
Kenjeran Park,indah,5,positif
Kenjeran Park,tempat luas teduh sayang awat sepi upaya revitalisasi tampah destinasi,1,negatif
Kenjeran Park,asri,3,netral
Kenjeran Park,tempat luas ademcocok suka foto foto,3,netral
Kenjeran Park,wisata kenjeran tempat luas sayang bersih bnyak dedaunan kering yg bersih,5,positif
Kenjeran Park,akurasi informasi bagus,5,positif
Kenjeran Park,aja kesana masuk bayar k motor tempt awat seprtinya sdh bengkalai pdhl dlu rame byk jual mkaman skrg sepiii zonk dah uang k buang sia hororrrr bnget jd milih lngsung pulang pdhl mggu tp gk org satu,1,negatif
Kenjeran Park,weekdays harga tiket masuk pantai spot saran kereta kelinci harga kereta kereta kelinci henti titik wisata ditungguin supirnya kenjeran ga serame bagus jalanjalan,3,netral
Kenjeran Park,panas,1,negatif
Kenjeran Park,pusing,3,netral
Kenjeran Park,tempat luas dalam atlantis land pagoda tian tie waterpark patung budha wajah patung naga tepi laut kya kya shio lainlain,3,netral
Kenjeran Park,oke,3,netral
Kenjeran Park,wisata cenderung bengkalai bangun awat moga kembang renovasi jadi kenpark wisata idealdi surabaya jatim indonesia aamiin,3,netral
Kenjeran Park,nunggu bus kenpark arah terminal bus bungurasih jalan masuk jual pentol warung kopi sana dalam jalan nongkrong masuk dalam,1,negatif
Kenjeran Park,kenjeran park salah wisata populer letak surabaya jawa timur indonesia letak tepi laut pantai kenjeran tawar fasilitas rekreasi hibur unjung usia salah daya tarik utama kenjeran park pantai pasir putih indah unjung santa jemur main air lengkap fasilitas taman main anakanak area piknik lapang olahraga buat cocok kunjung keluarga samping kenjeran park kenal wahana hibur atraksi flying fox perahu kano main air unjung temu warung makan jual makan pantai nikmat hidang laut segar hidang lokal suasana senang pandang pantai indah kenjeran park destinasi populer warga surabaya wisatawan cari santa nikmat libur tepi laut salam toleransi sakura jaya bearing jl koblen kav e no surabaya,5,positif
Kenjeran Park,rawat,3,netral
Kenjeran Park,asik,5,positif
Kenjeran Park,kenang gue pas gue gw simpan kenang hati,3,netral
Kenjeran Park,mantafffff bagus,5,positif
Kenjeran Park,kunjung krn penasaran ken ya layak sembahyang beli makan klenteng harga wajar kes gebug beli harga porsi kupang lontong rp wajar,5,positif
Kenjeran Park,sdh awat lokasi lumayan luas,5,positif
Kenjeran Park,kesan sepi makan sate kerang lontong kupang nya fresh sekitar pantai bangun yg kali kesini ramai suasana imlek yg ibadat,3,netral
Kenjeran Park,tiket masuk murah dar muter muter jalan luas asri sayang areawahana rusak terawatuntuk kota kelas surabaya wisata perhati,1,negatif
Kenjeran Park,monggo mampir lepas lelah sebentar terus jalan,3,netral
Kenjeran Park,mantabz,3,netral
Kenjeran Park,nya baguscuma papan tunjuk arah detail waterpark sedia kolam renang sajakalau wahana main air wahana taman main masuk atlantis landharus tunjuk arah terang yg jelasitu catat kenjeran park,1,negatif
Kenjeran Park,taman nya bagus sdh baik nyaman keluarga,5,positif
Kenjeran Park,kenjeran park kenjeran park play ground anak anak kolam renang kenjeran sebegian area nya pantai wisata pantai keliling ibadah latih kuda kenjeran park rombong rombong makan santa pandang pantai,1,negatif
Kenjeran Park,kotor tutup bagus mana spot foto atlantis tutup kali kesana,3,netral
Kenjeran Park,suwung tempat,3,netral
Kenjeran Park,nyesel,3,netral
Kenjeran Park,tarik kunjung langsung ketemu laut wisata,3,netral
Kenjeran Park,keren bangett,5,positif
Kenjeran Park,iconic,3,netral
Kenjeran Park,taman rekreasi keluarga,3,netral
Kenjeran Park,lumayan,3,netral
Kenjeran Park,alternatif wisata keluarga,5,positif
Kenjeran Park,tenang cocok keluarga ramai bgt,5,positif
Kenjeran Park,sayang ibu sayang yg populer surabaya sepi bengkalai jual tutup parkir sisa lokasi kotor kes horror kesana minggu mas oke kunjung buddha rupa sanggar agung jual makan sungkan harga,1,negatif
Kenjeran Park,kotor awat eman banget tempat luas banget potensi pengelolaanya,1,negatif
Kenjeran Park,bayar ya masuk pantai,3,netral
Kenjeran Park,kenjeran park,3,netral
Kenjeran Park,masuk kenpark cm praktek sim area pintu masuk parkir r panas parkir cek stnk,1,negatif
Kenjeran Park,ticket masuk mobil k orang k ku worthit masuk area sana kosong awat unjung klenteng sanggar agung parkir d klenteng parkir k masuk area patung sisi klenteng sign sembahyang masuk area bangun wisatawan samping bangun sembahyang tp atur aneh dr salah jaga teman wna boleh masuk wna penasaran warga lokal masuk hmm atur bodoh,5,positif
Kenjeran Park,kemaren iseng main kesini foto patung dewi kwan im trs nyoba lontong balap lontong kupang es degan kuil kaget donk makan ber habis porsi uprit degan gelas cup gula gula asli kuciwa berat,5,positif
Kenjeran Park,kenpark,3,netral
Kenjeran Park,good place,5,positif
Kenjeran Park,tempate bagus,5,positif
Kenjeran Park,buruk kotorsampah manasekarang sekat sekattidak bebas nikmat indah alampengelola an profesionaldan muas,5,positif
Kenjeran Park,manatap,3,netral
Kenjeran Park,takut g berani mampir warung makan ntar kena harga yg g wajar jd cuman fto foto aja,3,netral
Kenjeran Park,lumayan libur keluarga,5,positif
Kenjeran Park,bgus bget libur,3,netral
Kenjeran Park,pokok puas deh aq bawa keluarga ku,5,positif
Kenjeran Park,harga mahaltiket bayar kali kalikenpark gak nyaman kumuh semenjak invasi orang meksiko,5,positif
Kenjeran Park,bagus cari suasana senang,5,positif
Kenjeran Park,manja mata kesan,3,netral
Kenjeran Park,nya bagus keren,5,positif
Kenjeran Park,potensi kembang skrg awat harga makan jg mahal enak,5,positif
Kenjeran Park,kesini sore biar panas niat sih pagoda sayang renov jalan pagoda tutup,1,negatif
Kenjeran Park,suka tabebuya nya bikin sejuk adem smakin tambah i dah suasana kenjeran park,5,positif
Kenjeran Park,viewnya bagus pas suka selfi,5,positif
Kenjeran Park,pandang nya indah lingkung nya bersih sejuk nya,5,positif
Kenjeran Park,tingkat fasilitas kelola sampah ya kalo bersih enak,5,positif
Kenjeran Park,wisata wajib kunjung,5,positif
Kenjeran Park,kenpark sanggar agung acara sembahyang mampir kenpark tarik baik isi wahana acara event ancol jakarta kelola kenpark nya peduli walikota nya gak usaha kenpark tarik ancol jakarta harga tiket masuk kenpark sepeda motor,5,positif
Kenjeran Park,terimakasih layan nyaman puas lega hati plong plong pintu gerbang tuhan prasangka keluh ribut situasi kondisi,5,positif
Kenjeran Park,anak pingin ubah,3,netral
Teletubbies Hill Bromo,ampun dingin,3,netral
Teletubbies Hill Bromo,salah spot favorit tnbts,3,netral
Teletubbies Hill Bromo,tmpat yg indah,5,positif
Teletubbies Hill Bromo,were here sep,3,netral
Teletubbies Hill Bromo,bukit teletubbies kawasan taman nasional bromo tengger meru milik pandang bukit hijau indah area parkir sedia titik wisata kawasan bromo unjung capai bukit jeep wisata menit area laut pasir cocok foto nikmat panorama alam,1,negatif
Teletubbies Hill Bromo,keren pandang,3,netral
Teletubbies Hill Bromo,salah destinasi kunjung wisata bromo,5,positif
Teletubbies Hill Bromo,watang valley or teletubbies hill is an area where we can witness one of the greatness of indonesia a vast savannah with background of hills that somewhat looks similar to windows xp wallpaper,3,netral
Teletubbies Hill Bromo,cari tingki wingki psi lala po,3,netral
Teletubbies Hill Bromo,exotic,3,netral
Teletubbies Hill Bromo,kereeen,3,netral
Teletubbies Hill Bromo,seru banget motor padang savana luas cek motor motor kesini jalan off road hujan hati pilih jalan ban slip,5,positif
Teletubbies Hill Bromo,alam lembah bromo kawasan poncokusumo malang tawar sensasi healing tenang river glamping asri udara sejuk suara sungai tenang beda laut pasir ramai lembah cocok santai api unggun barbeque river tubing aman keluarga,5,positif
Teletubbies Hill Bromo,spot si bromo bagus banget,5,positif
Teletubbies Hill Bromo,sumpah gak renti bilang masyaallah saking bagussss bangetttt pandang kaya indonesia,1,negatif
Teletubbies Hill Bromo,namain telletubies malu,3,netral
Teletubbies Hill Bromo,desember pas hijau hijau masyaallah hampar hijau nan luas bukit indah sedia warung toilet jual souvenir,3,netral
Teletubbies Hill Bromo,kesini sekian kabar titik yg viral bakar oya sedia toilet bayar ya,5,positif
Teletubbies Hill Bromo,pandang nya bagus udara sejuktidak dingin debu,3,netral
Teletubbies Hill Bromo,sabtu januari,3,netral
Teletubbies Hill Bromo,pandang bagus indah suasana sejuk tenang,5,positif
Teletubbies Hill Bromo,kenang yg lupa,3,netral
Teletubbies Hill Bromo,sayang orang yg bertanggungjawab buang sampah plastik,1,negatif
Teletubbies Hill Bromo,indah,5,positif
Teletubbies Hill Bromo,wonderful panorama,3,netral
Teletubbies Hill Bromo,enak pas desember hijau mekar,5,positif
Teletubbies Hill Bromo,masya allah indah cipta ya allah hampar hijau sejuk mata udara sejuk habis libur senang,5,positif
Teletubbies Hill Bromo,magical sayang berisik dagang sana setel speaker kenceng,3,netral
Teletubbies Hill Bromo,you come here when you go to bromo it is green and push when it is rainy season,3,netral
Teletubbies Hill Bromo,kesini cm pindah sarap,3,netral
Teletubbies Hill Bromo,sejuk neng hatibukit hijau nan indah,5,positif
Teletubbies Hill Bromo,sampe kelaparandan makan bakso lumayan start from rb dah dapet semangkuk bakso,3,netral
Teletubbies Hill Bromo,tarik,3,netral
Teletubbies Hill Bromo,wajibbbbb bromoo,3,netral
Teletubbies Hill Bromo,jauhh trek,3,netral
Teletubbies Hill Bromo,everything about this place is beyond amazing and i would encourage everyone to visit this place at least once in their lifetime you can actually do picnic here and enjoy the scenery best time to visit this place is before am or after pm i will be back for sure,3,netral
Teletubbies Hill Bromo,santai eksotis cocok turing beelibur,5,positif
Teletubbies Hill Bromo,keren seru,5,positif
Teletubbies Hill Bromo,nya sejuk,3,netral
Teletubbies Hill Bromo,juni sempat,3,netral
Teletubbies Hill Bromo,nice view,5,positif
Teletubbies Hill Bromo,tempat baguskerendengan view yg ndak bosan lihat ramai unjung betah lama sana,5,positif
Teletubbies Hill Bromo,moga jaga asri,1,negatif
Teletubbies Hill Bromo,bukit pas hijauhijaunya bagus,5,positif
Teletubbies Hill Bromo,bukit bukit pandang indah ajar indah megah sederhana sentuh jiwa ajar diam doa nggak diceritaiiiiiinnn wuiiiiih bener bener karunia illahi,5,positif
Teletubbies Hill Bromo,bagusss luasssd anginn pasirrr jual jajan banyakkk,1,negatif
Teletubbies Hill Bromo,indah ituuu,5,positif
Teletubbies Hill Bromo,very peaceful and beautiful landscape,3,netral
Teletubbies Hill Bromo,mantab masyallah,5,positif
Teletubbies Hill Bromo,good spot for ootd and photography marvelous,5,positif
Teletubbies Hill Bromo,salah spot wajib gunung bromo,3,netral
Teletubbies Hill Bromo,pergi pas okt bukit gersang gak hijau viral tetep bagus pandang alam bentuk bukit jajar unik,5,positif
Teletubbies Hill Bromo,hampar luas bukit hijau menguningsejauh mata memandangalam indah nilai plus nyabisa foto kuda nyabayar sih bapak orang ributapi worth itfoto bagus kuda putih,5,positif
Teletubbies Hill Bromo,bukit teletubbies bromo ganti namahal usul warga yg nama pakai nama sesuai nama ny pakai nama tempat,3,netral
Teletubbies Hill Bromo,mt vng bt ngt hoa v ni ln quanh tuyt p,3,netral
Teletubbies Hill Bromo,beautiful place for healing,3,netral
Teletubbies Hill Bromo,de pungli motor jeep kondisi aja,1,negatif
Teletubbies Hill Bromo,indah sejuk,5,positif
Teletubbies Hill Bromo,ganti nama lembah watang,3,netral
Teletubbies Hill Bromo,bromo vibes sunset,3,netral
Teletubbies Hill Bromo,cantik foto foto,5,positif
Teletubbies Hill Bromo,goooooood,3,netral
Teletubbies Hill Bromo,un dcor de western la route sableuse est glissante surtout en scooter,3,netral
Teletubbies Hill Bromo,takjub indah alam,5,positif
Teletubbies Hill Bromo,sore sepi,1,negatif
Teletubbies Hill Bromo,bukit teletubbies lembah watang bromo tengger meru,3,netral
Teletubbies Hill Bromo,joli mais sans grand intrt,1,negatif
Teletubbies Hill Bromo,spor baik savana rumput bromo bentuk bukit cantik pukau mata pikir wajib kesini berangkat bromo via malang,5,positif
Teletubbies Hill Bromo,ticket ribet,3,netral
Teletubbies Hill Bromo,wonderful place,3,netral
Teletubbies Hill Bromo,unjung saat weekday worth it private holiday,3,netral
Teletubbies Hill Bromo,recommend areal bromo hampar rumput hijau pandang bagus,3,netral
Teletubbies Hill Bromo,dingin banget,1,negatif
Teletubbies Hill Bromo,destinasi bonus turun via gubugklakah tawar view bukit vulkanik indah asri kaki gunung kursi bukit sabana tanah pasir fasilitas tunjang wisatawan sedia ramai,5,positif
Teletubbies Hill Bromo,silau kena mata sejuk hati karna pakai jaket gak pakai jaket hati yg dingin,3,netral
Teletubbies Hill Bromo,luas jual makan cindera mata khas bromo sedia toilet parkir jeep,3,netral
Teletubbies Hill Bromo,good,5,positif
Teletubbies Hill Bromo,sebenernya pandang gunung gak membosankanhanya sadar unjung jaga lingkung bukit,1,negatif
Teletubbies Hill Bromo,pindah cuaca dri musim hujan kemarau emng cocok utk wisata bromo angin blm kencang klo udh masuk musim kemarau angin nya suka gede banget pasir pda terbang jdi masker tutup wajah klo musim hujan enak tuh malam hujan pas berangkat pas laut pasir cerahpasirnya gak bangan,3,netral
Teletubbies Hill Bromo,orooro ombo danau ranu kumbolo oke,3,netral
Teletubbies Hill Bromo,salah wisata pandang alam tarik lokasi mudah jangkau mobil jeep hardtop jalan keliling bukit jurang masya allah pandang wisata recommended keluarga,1,negatif
Teletubbies Hill Bromo,indah banget,5,positif
Teletubbies Hill Bromo,the view is amazing there is a trail to the path of the photo spots so it looks it is just overall stunning,3,netral
Teletubbies Hill Bromo,the best route in east java for someone who want to drive by themself i made it from the bromo to malang it was so wonderfull so unreal landscapes,3,netral
Teletubbies Hill Bromo,hampar bunga gunung bromo,3,netral
Teletubbies Hill Bromo,bagusssss,3,netral
Teletubbies Hill Bromo,pandang indah n bagus bagus foto recomended,5,positif
Teletubbies Hill Bromo,orang yg kuasa tembok tulis lembah watangandengan tarik tarif k foto dispot tsb uang tsb masuk orang stay duduk sot tsb larang orang foto situ kecuali bayar korang,3,netral
Teletubbies Hill Bromo,cantik pandang indah,5,positif
Teletubbies Hill Bromo,salah destinasi favorit trip bromo bukit teletubbies spot ditunggutunggu serta pandang keren udara segar cocok banget hunting foto terima kasih bareng oyan tour moga libur bareng ya,3,netral
Teletubbies Hill Bromo,pungli,3,netral
Teletubbies Hill Bromo,if you are mountains scenery lover you must be like the scenery around bukit teletubbies,3,netral
Teletubbies Hill Bromo,favorit ngevlog,3,netral
Teletubbies Hill Bromo,ganti nama,3,netral
Teletubbies Hill Bromo,datangpengalaman yg tempat,3,netral
Teletubbies Hill Bromo,senang sana,3,netral
Teletubbies Hill Bromo,bukit teletubbies pasir bisik spot gak dipisahin sanding lengkap indah bromo rumput ilalang tumbuh jadi sabana indah indonesia kesini aprilmei habis musim hujan mesti ijo royoroyo nikmat pandang sigak salah makan bakso jual warga lokal uenaaake pol rek,3,netral
Teletubbies Hill Bromo,nice view sarap pagi,5,positif
Teletubbies Hill Bromo,cuaca mendung bagus pandang cuaca terang pandang bagus,3,netral
Teletubbies Hill Bromo,teletubbies hill bromo yg takjub indah padang savanna luas bukit gunung yg limut kabut pagi salah yg wajib kunjung sewa jeep paket spot sunrise pananjakan kawah tengger,5,positif
Teletubbies Hill Bromo,salah spot foto bromo,3,netral
Teletubbies Hill Bromo,untung kesini cuaca bagus sejuk,5,positif
Teletubbies Hill Bromo,alternatif siang jelang sore,3,netral
Teletubbies Hill Bromo,libur bahan jiwa one and only,1,negatif
Teletubbies Hill Bromo,nice place one of the spot in bromo,5,positif
Teletubbies Hill Bromo,senang,3,netral
Teletubbies Hill Bromo,bawa anak istri,3,netral
Teletubbies Hill Bromo,pandang gunung bromo gak gagal sih kagum walo kesini masya allah indah sejuk sedia toilet orang jual makan pernakpernik khas gunung bromo,5,positif
Teletubbies Hill Bromo,wow,5,positif
Teletubbies Hill Bromo,wisata bagus dgn ladang savana yg luas hampar dgn keliling bukit cantik tambah ragam alam yg tiada abis utk nikmat,5,positif
Teletubbies Hill Bromo,ga kapok kesini rekomendasi sekali,5,positif
Teletubbies Hill Bromo,cakep foto prewedding,3,netral
Teletubbies Hill Bromo,wonderfull and beauty,3,netral
Teletubbies Hill Bromo,cepot the special tangerang city,5,positif
Teletubbies Hill Bromo,pandang indah pukau,3,netral
Teletubbies Hill Bromo,uwowww mantap,5,positif
Teletubbies Hill Bromo,good job sampe arah kk omi jatuh motor trail,5,positif
Teletubbies Hill Bromo,males pulang kalo udah sampe sana,3,netral
Teletubbies Hill Bromo,baik,3,netral
Teletubbies Hill Bromo,keren si bukit viewnya bagus untung disna ketemu mas jasa fotografer alhamdulillah dpt foto hasil bagus,5,positif
Teletubbies Hill Bromo,bentang area yg kereeenn bgt suasana hijau yg masyaallaah,5,positif
Teletubbies Hill Bromo,lengkap,3,netral
Teletubbies Hill Bromo,dec,3,netral
Teletubbies Hill Bromo,beautiful place,3,netral
Teletubbies Hill Bromo,best view pokok,3,netral
Teletubbies Hill Bromo,minimal umur hidup,3,netral
Teletubbies Hill Bromo,kesima unjung bromo momen apa,3,netral
Teletubbies Hill Bromo,good place,5,positif
